title,year,plot
A Belle for Christmas,2014,"When a sweet young boy and his precocious sister discover their newly adopted puppy Belle has been nabbed by the beautiful gold digger dating their widowed dad on Christmas Eve, the kids recruit their neighborhood friends and set out on an adventurous rescue mission to save her."
A Beloved Wife,2019,"A comedic portrait of an unhappy marriage between an unemployed screenwriter and his wife who's supported him for 10 years, based on the writer/director's own autobiography."
A Bennett Song Holiday,2020,"The unique Bennett-Song family learns the true meaning of the holidays as they solve a community crisis and adapt to big changes. Everything you want in a holiday film: love, the power of belief, laughter, tears, and new music classics."
A Better Tomorrow,1986,"This story is the tale of two brothers: one a successful counterfeiter and the younger a fledgling graduate of the HK police academy. The plot revolves around the split when the younger brother learns the other is a criminal and the efforts of the criminal brother to reform. Along the way are plenty of heists, double-crosses, and shoot outs."
A Better Tomorrow II,1987,"Restaurant owner Ken Gor, twin brother of Mark Gor, teams up with police detective Kit and his struggling ex-con brother Ho to avenge his old friend's daughter's death by a Triad gang."
A Better Way to Die,2000,"Set along the highways of the U.S. heartland, the story follows the journey of an ex-cop who is inadvertently thrust into a fierce struggle between the FBI and the Chicago underworld, both of which are searching for a missing federal agent who holds the key to the syndicate's demise."
A Big Love Story,2012,"With his glory days long gone, former prominent college football player Sam, after his beloved mother's death of a heart attack and an unfortunate career-ending knee injury, he gradually lets himself swell out to a dangerous weight. Moreover, now that funny and sarcastic, yet insecure Sam is trying to make ends meet as a bowling alley attendant, his love life is practically nonexistent, however, in one of those spur-of-the-moment decisions, he will make a bet with his close friends and visit the nearest gym for the ultimate makeover. Soon, like a fish out of water, Sam will meet with his uncommon personal trainer Cassie, a witty bookworm and a heavy smoker, and straight away, a timid friendship will develop. But does charming Cassie know that she is the girl of his dreams? After all, underneath this overweight teddy bear lies something more than a humble and truthful admirer. There, hides her soulmate."
A Bigger Splash,2015,"In A BIGGER SPLASH, the lives of a high profile couple, a famous rock star (Tilda Swinton) and a filmmaker (Matthias Schoenaerts), vacationing and recovering on the idyllic sun-drenched and remote Italian island of Pantelleria, are disrupted by the unexpected visit of an old friend (Ralph Fiennes) and his daughter (Dakota Johnson) - creating a whirlwind of jealousy, passion and, ultimately, danger for everyone involved."
A Birder's Guide to Everything,2013,"David Portnoy, a fifteen-year-old birding fanatic, thinks that he's made the discovery of a lifetime. So, on the eve of his father's remarriage, he escapes on an epic road trip with his best friends to solidify their place in birding history."
A Bit of Bad Luck,2014,"Brooks Caldwell, (Cary Elwes) an erudite and handsome lawyer, seems to have it all: wealth, social status and a red hot career. His success is, in reality, a product of his marriage to his beautiful, socialite wife, Amanda, (Terri Polo) a wealthy timber heiress. Unlike most, who would remain content to enjoy a life of luxury and privilege, Brooks continues to risk everything by having extramarital affairs. Brooks' philandering, in addition to humiliating Amanda, has driven her to the point of a mental breakdown. Having been pushed over the edge, Amanda orchestrates a just and elaborate plan to bring her husband down. When Brooks leaves for a weekend romp with his latest squeeze, (Agnes Bruckner) his life quickly descends into a bizarre, nightmarish, downward spiral."
